key,Feature,Description,Gene Name,logFC,adj.P.Val
WT vs MT1,ENSG00000257727,canopy 2 homolog (zebrafish),CNPY2,0.68,0.0052
WT vs MT1,ENSG00000235373,"",RP11-206L10.3,0.74,0.0052
WT vs MT1,ENSG00000161036,leucine-rich repeats and WD repeat domain containing 1,LRWD1,1.6,0.0054
WT vs MT1,ENSG00000255200,"",AP003068.18,0.42,0.006
WT vs MT1,ENSG00000186166,coiled-coil domain containing 84,CCDC84,0.66,0.0064
WT vs MT1,ENSG00000068438,FtsJ RNA methyltransferase homolog 1 (E. coli),FTSJ1,0.54,0.0063
WT vs MT1,ENSG00000169714,"CCHC-type zinc finger, nucleic acid binding protein",CNBP,0.39,0.006
WT vs MT1,ENSG00000168385,septin 2,SEPT2,0.46,0.0063
WT vs MT1,ENSG00000126602,TNF receptor-associated protein 1,TRAP1,0.44,0.0064
WT vs MT1,ENSG00000133636,neurotensin,NTS,0.29,0.006
WT vs MT1,ENSG00000150977,Rab interacting lysosomal protein-like 2,RILPL2,0.26,0.0064
WT vs MT1,ENSG00000162650,ataxin 7-like 2,ATXN7L2,0.76,0.007
WT vs MT1,ENSG00000107404,dishevelled segment polarity protein 1,DVL1,-0.5,0.007
WT vs MT1,ENSG00000248593,destrin (actin depolymerizing factor) pseudogene 2,DSTNP2,0.92,0.0064
WT vs MT1,ENSG00000174749,chromosome 4 open reading frame 32,C4orf32,-0.74,0.007
WT vs MT1,ENSG00000260442,"",RP11-22P6.3,-0.64,0.0076
WT vs MT1,ENSG00000241181,"","",-1.1,0.0064
WT vs MT1,ENSG00000187531,sirtuin 7,SIRT7,0.84,0.0077
WT vs MT1,ENSG00000162415,"zinc finger, SWIM-type containing 5",ZSWIM5,-0.36,0.0076
WT vs MT1,ENSG00000205903,zinc finger protein 316,ZNF316,-0.32,0.007
WT vs MT1,ENSG00000121680,peroxisomal biogenesis factor 16,PEX16,0.25,0.0076
WT vs MT1,ENSG00000077150,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),NFKB2,-0.23,0.0071
WT vs MT1,ENSG00000161542,phosphoribosyl pyrophosphate synthetase-associated protein 1,PRPSAP1,0.55,0.0077
WT vs MT1,ENSG00000135390,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)",ATP5G2,0.42,0.0083
WT vs MT1,ENSG00000157657,zinc finger protein 618,ZNF618,-0.27,0.0076
WT vs MT1,ENSG00000073614,lysine (K)-specific demethylase 5A,KDM5A,-0.59,0.0086
WT vs MT1,ENSG00000179933,chromosome 14 open reading frame 119,C14orf119,1.4,0.0084
WT vs MT1,ENSG00000106052,Tax1 (human T-cell leukemia virus type I) binding protein 1,TAX1BP1,0.23,0.0084
WT vs MT1,ENSG00000011422,"plasminogen activator, urokinase receptor",PLAUR,0.4,0.0096
WT vs MT1,ENSG00000185100,adenylosuccinate synthase like 1,ADSSL1,0.47,0.0095
WT vs MT1,ENSG00000147140,"non-POU domain containing, octamer-binding",NONO,0.51,0.0095
WT vs MT1,ENSG00000254933,"",RP11-619A14.2,-0.28,0.0089
WT vs MT1,ENSG00000112039,"Fanconi anemia, complementation group E",FANCE,0.61,0.0093
WT vs MT1,ENSG00000170385,"solute carrier family 30 (zinc transporter), member 1",SLC30A1,0.43,0.0096
WT vs MT1,ENSG00000081154,PEST proteolytic signal containing nuclear protein,PCNP,-0.28,0.0096
WT vs MT1,ENSG00000081059,"transcription factor 7 (T-cell specific, HMG-box)",TCF7,0.29,0.01
WT vs MT1,ENSG00000163348,pygopus homolog 2 (Drosophila),PYGO2,0.68,0.011
WT vs MT1,ENSG00000132297,HERV-H LTR-associating 1,HHLA1,-0.41,0.012
WT vs MT1,ENSG00000180488,"family with sequence similarity 73, member A",FAM73A,0.52,0.013
WT vs MT1,ENSG00000132466,ankyrin repeat domain 17,ANKRD17,0.56,0.011
WT vs MT1,ENSG00000069869,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",NEDD4,0.28,0.011
WT vs MT1,ENSG00000106603,cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae),COA1,0.33,0.012
WT vs MT1,ENSG00000101310,Sec23 homolog B (S. cerevisiae),SEC23B,0.88,0.012
WT vs MT1,ENSG00000032389,tumor suppressing subtransferable candidate 1,TSSC1,0.52,0.014
WT vs MT1,ENSG00000198818,SFT2 domain containing 1,SFT2D1,1.4,0.0084
WT vs MT1,ENSG00000101445,"protein phosphatase 1, regulatory subunit 16B",PPP1R16B,-0.64,0.016
WT vs MT1,ENSG00000168004,"HRAS-like suppressor family, member 5",HRASLS5,0.56,0.016
WT vs MT1,ENSG00000138050,THUMP domain containing 2,THUMPD2,0.28,0.014
WT vs MT1,ENSG00000230295,"",RP11-458F8.2,0.69,0.017
WT vs MT1,ENSG00000125841,neurensin 2,NRSN2,-0.41,0.017
WT vs MT1,ENSG00000052795,folliculin interacting protein 2,FNIP2,-0.48,0.018
WT vs MT1,ENSG00000167491,GATA zinc finger domain containing 2A,GATAD2A,-0.37,0.017
WT vs MT1,ENSG00000260260,"",RP11-304L19.5,0.69,0.018
WT vs MT1,ENSG00000128973,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",CLN6,-0.32,0.017
WT vs MT1,ENSG00000081791,KIAA0141,KIAA0141,0.63,0.019
WT vs MT1,ENSG00000140526,abhydrolase domain containing 2,ABHD2,1.2,0.021
WT vs MT1,ENSG00000233264,"",AC006042.8,0.81,0.02
WT vs MT1,ENSG00000009724,mannan-binding lectin serine peptidase 2,MASP2,0.51,0.021
WT vs MT1,ENSG00000156052,"guanine nucleotide binding protein (G protein), q polypeptide",GNAQ,-0.25,0.018
WT vs MT1,ENSG00000230149,"",RP3-508I15.19,0.25,0.018
WT vs MT1,ENSG00000160216,1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3,0.46,0.021
WT vs MT1,ENSG00000139436,G protein-coupled receptor kinase interacting ArfGAP 2,GIT2,-0.25,0.018
WT vs MT1,ENSG00000082269,"family with sequence similarity 135, member A",FAM135A,0.25,0.018
WT vs MT1,ENSG00000117682,dehydrodolichyl diphosphate synthase,DHDDS,1.1,0.017
WT vs MT1,ENSG00000187492,cadherin-related family member 4,CDHR4,1.3,0.018
WT vs MT1,ENSG00000241732,"",RP11-38P22.2,0.87,0.023
WT vs MT1,ENSG00000103145,host cell factor C1 regulator 1 (XPO1 dependent),HCFC1R1,-0.3,0.021
WT vs MT1,ENSG00000172932,"ankyrin repeat domain 13 family, member D",ANKRD13D,0.85,0.024
WT vs MT1,ENSG00000267045,"",AC006126.4,-0.3,0.023
WT vs MT1,ENSG00000230366,Down syndrome critical region gene 9 (non-protein coding),DSCR9,-0.36,0.024
WT vs MT1,ENSG00000182584,actin-like 10,ACTL10,0.86,0.021
WT vs MT1,ENSG00000188994,zinc finger protein 292,ZNF292,0.48,0.024
WT vs MT1,ENSG00000074582,BC1 (ubiquinol-cytochrome c reductase) synthesis-like,BCS1L,-0.37,0.024
WT vs MT1,ENSG00000141556,tubulin folding cofactor D,TBCD,-1.9,0.024
WT vs MT1,ENSG00000225880,long intergenic non-protein coding RNA 115,LINC00115,0.24,0.023
WT vs MT1,ENSG00000170776,A kinase (PRKA) anchor protein 13,AKAP13,0.33,0.023
WT vs MT1,ENSG00000261490,"",RP11-448G15.3,0.31,0.023
WT vs MT1,ENSG00000074621,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1",SLC24A1,0.56,0.026
WT vs MT1,ENSG00000163606,CD200 receptor 1,CD200R1,-0.6,0.026
WT vs MT1,ENSG00000073146,"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse)",MOV10L1,0.5,0.023
WT vs MT1,ENSG00000123870,"zinc finger protein 137, pseudogene",ZNF137P,-0.31,0.023
WT vs MT1,ENSG00000261052,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3",SULT1A3,-0.35,0.023
WT vs MT1,ENSG00000140181,hect domain and RLD 2 pseudogene 2,HERC2P2,0.4,0.023
WT vs MT1,ENSG00000100029,pescadillo ribosomal biogenesis factor 1,PES1,-0.28,0.024
WT vs MT1,ENSG00000197006,methyltransferase like 9,METTL9,-0.3,0.024
WT vs MT1,ENSG00000163170,bolA homolog 3 (E. coli),BOLA3,0.67,0.027
WT vs MT1,ENSG00000099968,BCL2-like 13 (apoptosis facilitator),BCL2L13,0.65,0.027
WT vs MT1,ENSG00000164828,Sad1 and UNC84 domain containing 1,SUN1,-0.91,0.024
WT vs MT1,ENSG00000154473,BUB3 mitotic checkpoint protein,BUB3,-0.32,0.024
WT vs MT1,ENSG00000131408,"nuclear receptor subfamily 1, group H, member 2",NR1H2,0.33,0.024
WT vs MT1,ENSG00000243323,"protein tyrosine phosphatase, receptor type, V, pseudogene",PTPRVP,-0.55,0.024
WT vs MT1,ENSG00000008294,sperm associated antigen 9,SPAG9,0.67,0.029
WT vs MT1,ENSG00000114698,phospholipid scramblase 4,PLSCR4,-0.32,0.024
WT vs MT1,ENSG00000180771,serine/arginine-rich splicing factor 8,SRSF8,0.78,0.028
WT vs MT1,ENSG00000141232,"transducer of ERBB2, 1",TOB1,0.53,0.029
WT vs MT1,ENSG00000138316,"ADAM metallopeptidase with thrombospondin type 1 motif, 14",ADAMTS14,1.2,0.022
WT vs MT1,ENSG00000131941,"rhophilin, Rho GTPase binding protein 2",RHPN2,0.43,0.029
WT vs MT1,ENSG00000260336,"",RP11-395B7.7,0.3,0.026
WT vs MT1,ENSG00000244687,ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,0.27,0.027
WT vs MT1,ENSG00000196233,ligand dependent nuclear receptor corepressor,LCOR,-0.19,0.024
WT vs MT1,ENSG00000109572,"chloride channel, voltage-sensitive 3",CLCN3,0.57,0.03
WT vs MT1,ENSG00000143549,tropomyosin 3,TPM3,-0.33,0.027
WT vs MT1,ENSG00000259583,"",RP11-66B24.4,-0.77,0.03
WT vs MT1,ENSG00000137210,transmembrane protein 14B,TMEM14B,-0.77,0.031
WT vs MT1,ENSG00000213066,FGFR1 oncogene partner,FGFR1OP,0.7,0.03
WT vs MT1,ENSG00000158246,"family with sequence similarity 46, member B",FAM46B,0.89,0.029
WT vs MT1,ENSG00000114503,"nuclear cap binding protein subunit 2, 20kDa",NCBP2,-0.31,0.029
WT vs MT1,ENSG00000068976,"phosphorylase, glycogen, muscle",PYGM,0.61,0.032
WT vs MT1,ENSG00000268584,"",RP11-464F9.20,0.31,0.027
WT vs MT1,ENSG00000110811,leprecan-like 2,LEPREL2,0.52,0.03
WT vs MT1,ENSG00000207650,microRNA 570,MIR570,-0.39,0.032
WT vs MT1,ENSG00000104381,ganglioside induced differentiation associated protein 1,GDAP1,0.58,0.033
WT vs MT1,ENSG00000134597,"RNA binding motif protein, X-linked 2",RBMX2,-0.25,0.028
WT vs MT1,ENSG00000107968,mitogen-activated protein kinase kinase kinase 8,MAP3K8,-0.25,0.027
WT vs MT1,ENSG00000144674,golgin A4,GOLGA4,-0.26,0.029
WT vs MT1,ENSG00000185203,WASH and IL9R antisense RNA 1,WASIR1,0.84,0.033
WT vs MT1,ENSG00000158022,"tripartite motif containing 63, E3 ubiquitin protein ligase",TRIM63,0.57,0.033
WT vs MT1,ENSG00000133835,hydroxysteroid (17-beta) dehydrogenase 4,HSD17B4,-0.32,0.029
WT vs MT1,ENSG00000115204,MpV17 mitochondrial inner membrane protein,MPV17,-0.42,0.033
WT vs MT1,ENSG00000169359,"solute carrier family 33 (acetyl-CoA transporter), member 1",SLC33A1,-0.58,0.032
WT vs MT1,ENSG00000172269,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),DPAGT1,-1,0.032
WT vs MT1,ENSG00000136875,PRP4 pre-mRNA processing factor 4 homolog (yeast),PRPF4,-0.3,0.03
WT vs MT1,ENSG00000139154,AE binding protein 2,AEBP2,0.48,0.033
WT vs MT1,ENSG00000105325,fizzy/cell division cycle 20 related 1 (Drosophila),FZR1,0.42,0.028
WT vs MT1,ENSG00000259715,"",CTD-3110H11.1,0.27,0.03
WT vs MT1,ENSG00000157181,chromosome 1 open reading frame 27,C1orf27,-0.53,0.034
WT vs MT1,ENSG00000115649,cyclin Pas1/PHO80 domain containing 1,CNPPD1,-0.23,0.03
WT vs MT1,ENSG00000186094,ATP/GTP binding protein-like 4,AGBL4,0.51,0.031
WT vs MT1,ENSG00000176641,ring finger protein 152,RNF152,-0.55,0.034
WT vs MT1,ENSG00000265688,MAFG antisense RNA 1 (head to head),MAFG-AS1,-0.26,0.03
WT vs MT1,ENSG00000162639,HEN1 methyltransferase homolog 1 (Arabidopsis),HENMT1,-0.79,0.035
WT vs MT1,ENSG00000128274,"alpha 1,4-galactosyltransferase",A4GALT,-0.27,0.03
WT vs MT1,ENSG00000179010,Morf4 family associated protein 1,MRFAP1,1.2,0.03
WT vs MT1,ENSG00000140807,naked cuticle homolog 1 (Drosophila),NKD1,-0.7,0.033
WT vs MT1,ENSG00000102221,PHD finger protein 16,PHF16,-0.38,0.034
WT vs MT1,ENSG00000187726,"DnaJ (Hsp40) homolog, subfamily B, member 13",DNAJB13,0.47,0.034
WT vs MT1,ENSG00000176396,EP300 interacting inhibitor of differentiation 2,EID2,-0.38,0.032
WT vs MT1,ENSG00000198961,"praja ring finger 2, E3 ubiquitin protein ligase",PJA2,-0.39,0.034
WT vs MT1,ENSG00000167306,myosin VB,MYO5B,-0.26,0.031
WT vs MT1,ENSG00000238018,"",AC093110.3,0.29,0.031
WT vs MT1,ENSG00000166352,chromosome 11 open reading frame 74,C11orf74,-0.21,0.03
WT vs MT1,ENSG00000157193,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",LRP8,0.69,0.036
WT vs MT1,ENSG00000122008,polymerase (DNA directed) kappa,POLK,0.54,0.037
WT vs MT1,ENSG00000241685,"actin related protein 2/3 complex, subunit 1A, 41kDa",ARPC1A,0.8,0.034
WT vs MT1,ENSG00000143569,ubiquitin associated protein 2-like,UBAP2L,0.6,0.037
WT vs MT1,ENSG00000086288,NME/NM23 family member 8,NME8,-0.27,0.034
WT vs MT1,ENSG00000102572,serine/threonine kinase 24,STK24,0.55,0.037
WT vs MT1,ENSG00000262692,"",CTD-3195I5.3,0.4,0.036
WT vs MT1,ENSG00000115414,fibronectin 1,FN1,0.79,0.037
WT vs MT1,ENSG00000089159,paxillin,PXN,-0.5,0.036
WT vs MT1,ENSG00000234684,SDCBP2 antisense RNA 1,SDCBP2-AS1,-0.77,0.036
WT vs MT1,ENSG00000162613,far upstream element (FUSE) binding protein 1,FUBP1,-0.23,0.033
WT vs MT1,ENSG00000137171,kinesin light chain 4,KLC4,0.71,0.038
WT vs MT1,ENSG00000137806,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 1",NDUFAF1,-0.32,0.034
WT vs MT1,ENSG00000115970,thyroid adenoma associated,THADA,-1,0.036
WT vs MT1,ENSG00000166926,"membrane-spanning 4-domains, subfamily A, member 6E",MS4A6E,-0.53,0.035
WT vs MT1,ENSG00000121481,ring finger protein 2,RNF2,0.54,0.037
WT vs MT1,ENSG00000164626,"potassium channel, subfamily K, member 5",KCNK5,-0.32,0.033
WT vs MT1,ENSG00000160703,NLR family member X1,NLRX1,-0.4,0.036
WT vs MT1,ENSG00000172250,serine hydrolase-like,SERHL,0.7,0.038
WT vs MT1,ENSG00000176809,"leucine rich repeat containing 37, member A3",LRRC37A3,-0.28,0.035
WT vs MT1,ENSG00000100979,phospholipid transfer protein,PLTP,0.64,0.036
WT vs MT1,ENSG00000132541,heat-responsive protein 12,HRSP12,-0.3,0.037
WT vs MT1,ENSG00000267565,"",CTC-559E9.8,0.52,0.035
WT vs MT1,ENSG00000141429,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),GALNT1,-0.32,0.034
WT vs MT1,ENSG00000132716,DDB1 and CUL4 associated factor 8,DCAF8,-0.33,0.036
WT vs MT1,ENSG00000125810,CD93 molecule,CD93,-0.42,0.038
WT vs MT1,ENSG00000189143,claudin 4,CLDN4,0.43,0.037
WT vs MT1,ENSG00000164221,coiled-coil domain containing 112,CCDC112,0.7,0.042
WT vs MT1,ENSG00000183386,four and a half LIM domains 3,FHL3,-0.43,0.04
WT vs MT1,ENSG00000089693,myeloid leukemia factor 2,MLF2,-0.29,0.035
WT vs MT1,ENSG00000242622,"",RP11-18H7.1,0.52,0.042
WT vs MT1,ENSG00000213088,"Duffy blood group, atypical chemokine receptor",DARC,0.72,0.042
WT vs MT1,ENSG00000138172,calcium homeostasis modulator 2,CALHM2,0.39,0.038
WT vs MT1,ENSG00000260735,"",RP11-72I8.1,-0.22,0.036
WT vs MT1,ENSG00000242086,long intergenic non-protein coding RNA 969,LINC00969,-0.27,0.036
WT vs MT1,ENSG00000159921,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,GNE,0.65,0.044
WT vs MT1,ENSG00000243811,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D",APOBEC3D,0.41,0.042
WT vs MT1,ENSG00000198468,FLVCR1 antisense RNA 1 (head to head),FLVCR1-AS1,-0.26,0.039
WT vs MT1,ENSG00000140326,codanin 1,CDAN1,-0.3,0.037
WT vs MT1,ENSG00000146530,von Willebrand factor D and EGF domains,VWDE,0.22,0.037
WT vs MT1,ENSG00000261337,"",RP11-498D10.5,-0.22,0.036
WT vs MT1,ENSG00000137075,ring finger protein 38,RNF38,0.37,0.038
WT vs MT1,ENSG00000124209,"RAB22A, member RAS oncogene family",RAB22A,0.5,0.046
WT vs MT1,ENSG00000196505,ganglioside induced differentiation associated protein 2,GDAP2,-0.33,0.04
WT vs MT1,ENSG00000083720,3-oxoacid CoA transferase 1,OXCT1,0.49,0.047
WT vs MT1,ENSG00000130511,single stranded DNA binding protein 4,SSBP4,0.2,0.037
WT vs MT1,ENSG00000204842,ataxin 2,ATXN2,-0.19,0.037
WT vs MT1,ENSG00000229638,ribosomal protein L4 pseudogene 4,RPL4P4,-0.46,0.038
WT vs MT1,ENSG00000249992,transmembrane protein 158 (gene/pseudogene),TMEM158,0.53,0.046
WT vs MT1,ENSG00000170545,small cell adhesion glycoprotein,SMAGP,-0.57,0.045
WT vs MT1,ENSG00000177302,topoisomerase (DNA) III alpha,TOP3A,-0.27,0.038
WT vs MT1,ENSG00000261512,"",RP11-46D6.1,0.36,0.043
WT vs MT1,ENSG00000204882,G protein-coupled receptor 20,GPR20,1.2,0.043
WT vs MT1,ENSG00000185986,"succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 3",SDHAP3,-0.29,0.042
WT vs MT1,ENSG00000167085,prohibitin,PHB,-0.21,0.042
WT vs MT1,ENSG00000123810,B9 protein domain 2,B9D2,-0.26,0.044
WT vs MT1,ENSG00000121083,"dynein, light chain, LC8-type 2",DYNLL2,0.58,0.052
WT vs MT1,ENSG00000107560,RAB11 family interacting protein 2 (class I),RAB11FIP2,-0.32,0.04
WT vs MT1,ENSG00000265817,fibrinogen silencer binding protein,FSBP,-0.28,0.042
WT vs MT1,ENSG00000073792,insulin-like growth factor 2 mRNA binding protein 2,IGF2BP2,-0.29,0.042
WT vs MT1,ENSG00000112561,transcription factor EB,TFEB,0.42,0.05
WT vs MT1,ENSG00000262180,oculomedin,OCLM,-1,0.048
WT vs MT1,ENSG00000116191,Ral GEF with PH domain and SH3 binding motif 2,RALGPS2,-0.41,0.053
WT vs MT1,ENSG00000136153,LIM domain 7,LMO7,-0.29,0.046
WT vs MT1,ENSG00000255753,"",RP11-22B23.2,-0.58,0.055
WT vs MT1,ENSG00000212907,mitochondrially encoded NADH dehydrogenase 4L,MT-ND4L,0.3,0.046
WT vs MT1,ENSG00000176463,"solute carrier organic anion transporter family, member 3A1",SLCO3A1,-0.2,0.043
WT vs MT1,ENSG00000124224,"protein phosphatase 4, regulatory subunit 1-like",PPP4R1L,0.65,0.054
WT vs MT1,ENSG00000145740,"solute carrier family 30 (zinc transporter), member 5",SLC30A5,0.24,0.042
WT vs MT1,ENSG00000266869,"",RP6-114E22.1,-0.23,0.048
WT vs MT1,ENSG00000134058,cyclin-dependent kinase 7,CDK7,0.2,0.046
WT vs MT1,ENSG00000136731,UDP-glucose glycoprotein glucosyltransferase 1,UGGT1,-0.57,0.051
WT vs MT1,ENSG00000068654,"polymerase (RNA) I polypeptide A, 194kDa",POLR1A,0.83,0.052
WT vs MT1,ENSG00000189343,ribosomal protein S2 pseudogene 46,RPS2P46,-0.42,0.053
WT vs MT1,ENSG00000174775,Harvey rat sarcoma viral oncogene homolog,HRAS,-0.21,0.045
WT vs MT1,ENSG00000081148,interphotoreceptor matrix proteoglycan 2,IMPG2,0.95,0.052
WT vs MT1,ENSG00000165392,"Werner syndrome, RecQ helicase-like",WRN,1,0.058
WT vs MT1,ENSG00000078081,lysosomal-associated membrane protein 3,LAMP3,0.49,0.048
WT vs MT1,ENSG00000153558,F-box and leucine-rich repeat protein 2,FBXL2,0.74,0.054
WT vs MT1,ENSG00000156411,chromosome 14 open reading frame 2,C14orf2,0.58,0.057
WT vs MT1,ENSG00000166086,junctional adhesion molecule 3,JAM3,-0.84,0.059
WT vs MT1,ENSG00000168016,tetratricopeptide repeat and ankyrin repeat containing 1,TRANK1,-0.31,0.053
WT vs MT1,ENSG00000088826,spermine oxidase,SMOX,0.28,0.05
WT vs MT1,ENSG00000121988,"zinc finger, RAN-binding domain containing 3",ZRANB3,0.53,0.059
WT vs MT1,ENSG00000182185,RAD51 paralog B,RAD51B,0.35,0.053
WT vs MT1,ENSG00000164086,dual specificity phosphatase 7,DUSP7,0.4,0.046
WT vs MT1,ENSG00000196182,serine/threonine kinase 40,STK40,0.32,0.053
WT vs MT1,ENSG00000104047,DTW domain containing 1,DTWD1,-0.39,0.048
